Experiment_ID,Pressure-die distance,Pressure-die boost,Mandrel retraction timing,Collet boost
193,0.0,0.0,0.0,0.0
194,0.0,0.0,0.0,0.0
195,0.0,0.0,0.0,0.0
268,0.0,0.0,0.0,0.20000000000000023
269,0.0,0.0,0.0,0.20000000000000023
270,0.0,0.0,0.0,0.20000000000000023
241,0.0,0.0,0.0,0.5000000000000006
242,0.0,0.0,0.0,0.5000000000000006
243,0.0,0.0,0.0,0.5000000000000006
253,0.0,0.0,0.0,0.7000000000000007
257,0.0,0.0,0.0,0.7000000000000007
259,0.0,0.0,0.0,0.7000000000000007
196,0.0,0.0,0.0,1.0
197,0.0,0.0,0.0,1.0
198,0.0,0.0,0.0,1.0
223,0.0,0.0,0.5,0.0
224,0.0,0.0,0.5,0.0
225,0.0,0.0,0.5,0.0
265,0.0,0.0,0.5,0.20000000000000023
266,0.0,0.0,0.5,0.20000000000000023
267,0.0,0.0,0.5,0.20000000000000023
238,0.0,0.0,0.5,0.5000000000000006
239,0.0,0.0,0.5,0.5000000000000006
240,0.0,0.0,0.5,0.5000000000000006
254,0.0,0.0,0.5,0.7000000000000007
256,0.0,0.0,0.5,0.7000000000000007
260,0.0,0.0,0.5,0.7000000000000007
220,0.0,0.0,0.5,1.0
221,0.0,0.0,0.5,1.0
222,0.0,0.0,0.5,1.0
208,0.0,0.0,1.0,0.0
209,0.0,0.0,1.0,0.0
210,0.0,0.0,1.0,0.0
262,0.0,0.0,1.0,0.20000000000000023
263,0.0,0.0,1.0,0.20000000000000023
264,0.0,0.0,1.0,0.20000000000000023
235,0.0,0.0,1.0,0.5000000000000006
236,0.0,0.0,1.0,0.5000000000000006
237,0.0,0.0,1.0,0.5000000000000006
255,0.0,0.0,1.0,0.7000000000000007
258,0.0,0.0,1.0,0.7000000000000007
261,0.0,0.0,1.0,0.7000000000000007
205,0.0,0.0,1.0,1.0
206,0.0,0.0,1.0,1.0
207,0.0,0.0,1.0,1.0
190,0.0,0.8947368421052632,0.0,0.0
191,0.0,0.8947368421052632,0.0,0.0
192,0.0,0.8947368421052632,0.0,0.0
280,0.0,0.8947368421052632,0.2,0.0
281,0.0,0.8947368421052632,0.2,0.0
282,0.0,0.8947368421052632,0.2,0.0
283,0.0,0.8947368421052632,0.2,0.0
284,0.0,0.8947368421052632,0.2,0.0
214,0.0,0.8947368421052632,0.5,0.0
215,0.0,0.8947368421052632,0.5,0.0
216,0.0,0.8947368421052632,0.5,0.0
211,0.0,0.8947368421052632,1.0,0.0
212,0.0,0.8947368421052632,1.0,0.0
213,0.0,0.8947368421052632,1.0,0.0
271,0.0,0.9157894736842106,0.0,0.20000000000000023
272,0.0,0.9157894736842106,0.0,0.20000000000000023
273,0.0,0.9157894736842106,0.0,0.20000000000000023
274,0.0,0.9157894736842106,0.5,0.20000000000000023
275,0.0,0.9157894736842106,0.5,0.20000000000000023
276,0.0,0.9157894736842106,0.5,0.20000000000000023
277,0.0,0.9157894736842106,1.0,0.20000000000000023
278,0.0,0.9157894736842106,1.0,0.20000000000000023
279,0.0,0.9157894736842106,1.0,0.20000000000000023
290,0.0,0.9473684210526316,0.2,0.5000000000000006
291,0.0,0.9473684210526316,0.2,0.5000000000000006
292,0.0,0.9473684210526316,0.2,0.5000000000000006
293,0.0,0.9473684210526316,0.2,0.5000000000000006
294,0.0,0.9473684210526316,0.2,0.5000000000000006
295,0.0,0.9473684210526316,0.2,0.5000000000000006
296,0.0,0.9473684210526316,0.2,0.5000000000000006
297,0.0,0.9473684210526316,0.2,0.5000000000000006
298,0.0,0.9473684210526316,0.2,0.5000000000000006
299,0.0,0.9473684210526316,0.2,0.5000000000000006
300,0.0,0.9473684210526316,0.2,0.5000000000000006
301,0.0,0.9473684210526316,0.2,0.5000000000000006
226,0.0,0.9473684210526316,0.0,0.5000000000000006
227,0.0,0.9473684210526316,0.0,0.5000000000000006
228,0.0,0.9473684210526316,0.0,0.5000000000000006
302,0.0,0.9473684210526316,0.2,0.5000000000000006
303,0.0,0.9473684210526316,0.2,0.5000000000000006
304,0.0,0.9473684210526316,0.2,0.5000000000000006
317,0.0,0.9473684210526316,0.2,0.5000000000000006
318,0.0,0.9473684210526316,0.2,0.5000000000000006
229,0.0,0.9473684210526316,0.5,0.5000000000000006
230,0.0,0.9473684210526316,0.5,0.5000000000000006
231,0.0,0.9473684210526316,0.5,0.5000000000000006
232,0.0,0.9473684210526316,1.0,0.5000000000000006
233,0.0,0.9473684210526316,1.0,0.5000000000000006
234,0.0,0.9473684210526316,1.0,0.5000000000000006
305,0.0,0.9473684210526316,0.2,0.5000000000000006
306,0.0,0.9473684210526316,0.2,0.5000000000000006
307,0.0,0.9473684210526316,0.2,0.5000000000000006
308,0.0,0.9473684210526316,0.2,0.5000000000000006
309,0.0,0.9473684210526316,0.2,0.5000000000000006
310,0.0,0.9473684210526316,0.2,0.5000000000000006
311,0.0,0.9473684210526316,0.2,0.5000000000000006
312,0.0,0.9473684210526316,0.2,0.5000000000000006
313,0.0,0.9473684210526316,0.2,0.5000000000000006
314,0.0,0.9473684210526316,0.2,0.5000000000000006
315,0.0,0.9473684210526316,0.2,0.5000000000000006
316,0.0,0.9473684210526316,0.2,0.5000000000000006
244,0.0,0.9684210526315791,0.0,0.7000000000000007
247,0.0,0.9684210526315791,0.0,0.7000000000000007
250,0.0,0.9684210526315791,0.0,0.7000000000000007
245,0.0,0.9684210526315791,0.5,0.7000000000000007
248,0.0,0.9684210526315791,0.5,0.7000000000000007
251,0.0,0.9684210526315791,0.5,0.7000000000000007
246,0.0,0.9684210526315791,1.0,0.7000000000000007
249,0.0,0.9684210526315791,1.0,0.7000000000000007
252,0.0,0.9684210526315791,1.0,0.7000000000000007
199,0.0,1.0,0.0,1.0
200,0.0,1.0,0.0,1.0
201,0.0,1.0,0.0,1.0
285,0.0,1.0,0.2,1.0
286,0.0,1.0,0.2,1.0
287,0.0,1.0,0.2,1.0
288,0.0,1.0,0.2,1.0
289,0.0,1.0,0.2,1.0
217,0.0,1.0,0.5,1.0
218,0.0,1.0,0.5,1.0
219,0.0,1.0,0.5,1.0
202,0.0,1.0,1.0,1.0
203,0.0,1.0,1.0,1.0
204,0.0,1.0,1.0,1.0
59,1.0,0.0,0.0,0.0
90,1.0,0.0,0.0,0.0
129,1.0,0.0,0.0,0.0
152,1.0,0.0,0.0,0.0
88,1.0,0.0,0.0,0.20000000000000023
115,1.0,0.0,0.0,0.20000000000000023
184,1.0,0.0,0.0,0.20000000000000023
185,1.0,0.0,0.0,0.20000000000000023
69,1.0,0.0,0.0,0.5000000000000006
103,1.0,0.0,0.0,0.5000000000000006
134,1.0,0.0,0.0,0.5000000000000006
154,1.0,0.0,0.0,0.5000000000000006
83,1.0,0.0,0.0,0.7000000000000007
110,1.0,0.0,0.0,0.7000000000000007
182,1.0,0.0,0.0,0.7000000000000007
183,1.0,0.0,0.0,0.7000000000000007
70,1.0,0.0,0.0,1.0
92,1.0,0.0,0.0,1.0
135,1.0,0.0,0.0,1.0
165,1.0,0.0,0.0,1.0
60,1.0,0.0,0.5,0.0
99,1.0,0.0,0.5,0.0
130,1.0,0.0,0.5,0.0
151,1.0,0.0,0.5,0.0
87,1.0,0.0,0.5,0.20000000000000023
114,1.0,0.0,0.5,0.20000000000000023
